,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,1.79,0,1,3.595936234,4.67447449,33
1,1,2,1.79,0,1,3.619407162,4.673558086,33
2,1,3,1.46,0,1,3.686966447,4.672435496,33
3,1,4,1.14,0,1,3.754603898,4.670842101,33
4,1,5,1.33,0,1,3.750683703,4.669218496,33
5,1,6,1.03,0,1,3.811345656,4.668137404,33
6,1,7,0.83,0,1,3.859207404,4.667924637,33
7,1,8,1.43,0,1,3.793194186,4.668368372,33
8,1,9,1.59,0,1,3.778278268,4.668968488,33
9,1,10,2.04,0,1,3.710042273,4.669634931,33
10,1,11,2.75,0,1,3.593094843,4.67115383,33
11,1,12,3.52,0,1,3.452999563,4.673431357,33
12,1,13,4.67,0,1,3.249700262,4.67591292,33
13,1,14,5.3,0,1,3.109178566,4.678619065,33
14,1,15,5.7,0,1,2.995278525,4.681260813,33
15,1,16,5.83,0,1,2.926528382,4.683959332,33
16,1,17,5.5,0,1,2.940860735,4.686726973,33
17,1,18,4.38,0,1,3.069728199,4.688938418,33
18,1,19,2.92,0,1,3.28913307,4.690479873,33
19,1,20,2.82,0,1,3.331306673,4.691589785,33
20,1,21,2.18,0,1,3.448203932,4.6919958,33
21,1,22,1.62,0,1,3.558403295,4.69157167,33
22,1,23,1.58,0,1,3.597548089,4.690710915,33
23,1,24,1.06,0,1,3.701408394,4.689861841,33
24,2,1,4.11,0,1,2.960743865,5.933905378,45
25,2,2,4.06,0,1,3.001132809,5.934342269,45
26,2,3,3.95,0,1,3.046476039,5.93509628,45
27,2,4,3.7,0,1,3.109389795,5.936124142,45
28,2,5,3.4,0,1,3.179084309,5.937316206,45
29,2,6,3.03,0,1,3.259079509,5.93833637,45
30,2,7,2.66,0,1,3.340414936,5.939171711,45
31,2,8,2.7,0,1,3.362244317,5.94006752,45
32,2,9,3.2,0,1,3.310558148,5.940592196,45
33,2,10,4.09,0,1,3.190737073,5.94086052,45
34,2,11,5.59,0,1,2.960120279,5.940985436,45
35,2,12,6.27,0,1,2.837197336,5.94131041,45
36,2,13,6.5,0,1,2.771696594,5.942621407,45
37,2,14,6.93,0,1,2.685500072,5.944313055,45
38,2,15,6.75,0,1,2.676073103,5.945062227,45
39,2,16,7.02,0,1,2.61933406,5.945551232,45
40,2,17,5.75,0,1,2.78966647,5.946827758,45
41,2,18,5.4,0,1,2.76775364,5.948684568,45
42,2,19,4.84,0,1,2.856373563,5.950619074,45
43,2,20,4.65,0,1,2.907674775,5.95230587,45
44,2,21,4.46,0,1,2.958265906,5.953318469,45
45,2,22,4.23,0,1,3.013942806,5.95387758,45
46,2,23,4,0,1,3.06957663,5.954295223,45
47,2,24,3.86,0,1,3.112335234,5.954548701,45
48,3,1,6.88,0,1,2.064117873,6.759724777,49
49,3,2,6.31,0,1,2.207931238,6.765380237,49
50,3,3,6.46,0,1,2.248195783,6.771604207,49
51,3,4,5.77,0,1,2.398574234,6.778300473,49
52,3,5,4.93,0,1,2.572335812,6.785231201,49
53,3,6,4.75,0,1,2.655556861,6.793149157,49
54,3,7,4.99,0,1,2.674273374,6.801196091,49
55,3,8,7.47,0,1,2.358196438,6.808759042,49
56,3,9,8.5,0,1,2.210888012,6.816615275,49
57,3,10,9.14,0,1,2.098355014,6.825102689,49
58,3,11,9.75,0,1,1.987787456,6.833280065,49
59,3,12,9.99,0,1,1.918823066,6.841142652,49
60,3,13,10.63,0,1,1.784764257,6.849435037,49
61,3,14,11.21,0,1,1.660660671,6.857757625,49
62,3,15,11.37,0,1,1.575042051,6.865475456,49
63,3,16,11.34,0,1,1.523669555,6.872553413,49
64,3,17,10.84,0,1,1.568419622,6.87965002,49
65,3,18,10.01,0,1,1.679576914,6.886799632,49
66,3,19,8.91,0,1,1.847447613,6.893931212,49
67,3,20,8.03,0,1,2.000943194,6.900196292,49
68,3,21,7.1,0,1,2.168971494,6.906143099,49
69,3,22,6.32,0,1,2.322686402,6.912811525,49
70,3,23,5.51,0,1,2.484995578,6.920031887,49
71,3,24,4.76,0,1,2.642886495,6.927157906,49
72,4,1,10.35,0,1,1.245932008,10.03510461,19
73,4,2,10.03,0,1,1.351963513,10.03571359,19
74,4,3,9.9,0,1,1.427202753,10.03635716,19
75,4,4,9.8,0,1,1.492575768,10.03737781,19
76,4,5,9.55,0,1,1.574276028,10.0385862,19
77,4,6,10.02,0,1,1.548833427,10.03985477,19
78,4,7,11.13,0,1,1.415156168,10.04162139,19
79,4,8,12.47,0,1,1.227450978,10.04413398,19
80,4,9,13.37,0,1,1.075260159,10.04730822,19
81,4,10,13.99,0,1,0.951525049,10.0513043,19
82,4,11,14.71,0,1,0.815882996,10.05605421,19
83,4,12,15.15,0,1,0.686486945,10.06170531,19
84,4,13,15.36,0,1,0.588313899,10.06758823,19
85,4,14,15.78,0,1,0.458471147,10.07317842,19
86,4,15,15.74,0,1,0.412697329,10.07850248,19
87,4,16,15.48,0,1,0.391942863,10.08373283,19
88,4,17,15.28,0,1,0.384588835,10.08867636,19
89,4,18,14.96,0,1,0.362966875,10.09320952,19
90,4,19,14.3,0,1,0.339236721,10.09773284,19
91,4,20,13.4,0,1,0.494587344,10.10204777,19
92,4,21,11.97,0,1,0.761175485,10.10609257,19
93,4,22,10.82,0,1,0.997669942,10.1098347,19
94,4,23,10.19,0,1,1.165099897,10.11331878,19
95,4,24,9.61,0,1,1.323383207,10.11686025,19
96,5,1,14.36,0,1,0,13.08662556,15
97,5,2,16.02,0,1,0,13.0906252,15
98,5,3,15.9,0,1,0,13.09586537,15
99,5,4,15.17,0,1,0,13.10245832,15
100,5,5,14.73,0,1,0,13.10979298,15
101,5,6,14.04,0,1,0,13.11787302,15
102,5,7,16.08,0,1,0,13.12607472,15
103,5,8,18.54,0,1,0,13.13488229,15
104,5,9,20.21,0,1,0,13.14472393,15
105,5,10,21.41,0,1,0,13.15524817,15
106,5,11,22.1,0,1,0,13.16626329,15
107,5,12,22.65,-0.158905285,1,0,13.1776086,15
108,5,13,23.07,-0.313648727,1,0,13.18983715,15
109,5,14,23.26,-0.4222342,1,0,13.20184959,15
110,5,15,23.32,-0.578888823,1,0,13.21345344,15
111,5,16,23.1,-0.727385721,1,0,13.22489352,15
112,5,17,22.45,-0.660292061,1,0,13.235999,15
113,5,18,21.27,-0.568136513,1,0,13.24696411,15
114,5,19,19.95,-0.403912527,1,0,13.25762991,15
115,5,20,18.48,-0.159982838,1,0,13.26705999,15
116,5,21,17.01,0,1,0,13.27602662,15
117,5,22,15.77,0,1,0,13.28465647,15
118,5,23,14.66,0,1,0,13.29273709,15
119,5,24,13.57,0,1,0,13.30166605,15
120,6,1,14.34,0,1,0,13.63437986,36
121,6,2,13.8,0,1,0.127723791,13.63481216,36
122,6,3,13.19,0,1,0.311740408,13.63572129,36
123,6,4,12.7,0,1,0.473906019,13.63622142,36
124,6,5,12.3,0,1,0.617948172,13.63693845,36
125,6,6,12.57,0,1,0.656671774,13.63757137,36
126,6,7,13.42,0,1,0.594072246,13.63899152,36
127,6,8,14.45,0,1,0.483089256,13.64116298,36
128,6,9,15.83,0,1,0.302795736,13.64366622,36
129,6,10,16.89,0,1,0.148144401,13.64606396,36
130,6,11,18.08,0,1,0,13.64835027,36
131,6,12,19.09,0,1,0,13.65120427,36
132,6,13,19.72,0,1,0,13.65439358,36
133,6,14,20.55,0,1,0,13.65740918,36
134,6,15,21.34,0,1,0,13.66052618,36
135,6,16,21.4,0,1,0,13.66393866,36
136,6,17,20.49,0,1,0,13.66741271,36
137,6,18,19.66,0,1,0,13.67116325,36
138,6,19,18.83,0,1,0,13.67454437,36
139,6,20,18,0,1,0,13.67791572,36
140,6,21,17.17,0,1,0,13.68082596,36
141,6,22,16.34,0,1,0,13.68327444,36
142,6,23,15.51,0,1,0,13.68555719,36
143,6,24,14.68,0,1,0,13.68724963,36
144,7,1,10.46,0,1,1.31683224,13.92963612,36
145,7,2,10.05,0,1,1.423327134,13.92462769,36
146,7,3,9.71,0,1,1.51883969,13.9200222,36
147,7,4,9.31,0,1,1.621168434,13.9155794,36
148,7,5,9.3,0,1,1.667184509,13.91135019,36
149,7,6,9.52,0,1,1.673789347,13.90757732,36
150,7,7,10.47,0,1,1.568725897,13.90391023,36
151,7,8,12,0,1,1.358983656,13.90052706,36
152,7,9,12.57,0,1,1.256291445,13.89763579,36
153,7,10,12.97,0,1,1.172196786,13.89464956,36
154,7,11,13.55,0,1,1.066075712,13.89166396,36
155,7,12,14.11,0,1,0.964115734,13.88839946,36
156,7,13,14.74,0,1,0.807668601,13.88465785,36
157,7,14,15.25,0,1,0.706847149,13.88018784,36
158,7,15,14.95,0,1,0.698743026,13.87476514,36
159,7,16,14.17,0,1,0.778903828,13.86862559,36
160,7,17,14.46,0,1,0.610806574,13.86190995,36
161,7,18,14.38,0,1,0.621615203,13.85477948,36
162,7,19,13.69,0,1,0.707257019,13.84751841,36
163,7,20,11.92,0,1,0.950072921,13.83988054,36
164,7,21,11.4,0,1,1.072842266,13.83181152,36
165,7,22,11.04,0,1,1.174470671,13.82374258,36
166,7,23,10.42,0,1,1.311277597,13.81568462,36
167,7,24,10,0,1,1.421127939,13.80755593,36
168,8,1,15.21,0,1,0.223108636,14.70432484,41
169,8,2,15.17,0,1,0.270583331,14.7075185,41
170,8,3,15.09,0,1,0.318953205,14.7111849,41
171,8,4,14.89,0,1,0.380738815,14.71510604,41
172,8,5,14.72,0,1,0.436508457,14.71862614,41
173,8,6,14.89,0,1,0.442027157,14.7217618,41
