,s,TimeStep,Dry_Bulb_Temperature,cool_load,dt,heat_load,tg,period_weight
0,1,1,13.29,0,1,1.615915114,15.46765004,37
1,1,2,12.86,0,1,1.789814855,15.46369936,37
2,1,3,12.81,0,1,1.872752746,15.45982789,37
3,1,4,12.53,0,1,1.997608802,15.45649416,37
4,1,5,12.25,0,1,2.119531336,15.45333434,37
5,1,6,11.84,0,1,2.269749232,15.44993732,37
6,1,7,12.15,0,1,2.24756784,15.44581902,37
7,1,8,12.59,0,1,2.15347811,15.44295347,37
8,1,9,13.18,0,1,2.000333463,15.44056125,37
9,1,10,14.26,0,1,1.698223305,15.43885129,37
10,1,11,15.82,0,1,1.235137514,15.43792599,37
11,1,12,16.98,0,1,0.836838521,15.43782092,37
12,1,13,18.62,0,1,0.307107953,15.43926159,37
13,1,14,19.64,0,1,0,15.43922718,37
14,1,15,20.36,0,1,0,15.438849,37
15,1,16,20.42,0,1,0,15.43891666,37
16,1,17,19.85,0,1,0,15.43704785,37
17,1,18,19.39,0,1,0,15.43563125,37
18,1,19,18.29,0,1,0,15.43445118,37
19,1,20,16.8,0,1,0.093068854,15.43122861,37
20,1,21,15.18,0,1,0.576703706,15.42811631,37
21,1,22,14.01,0,1,0.984626922,15.42606766,37
22,1,23,13.28,0,1,1.298659538,15.42402742,37
23,1,24,12.89,0,1,1.526799218,15.41910278,37
24,2,1,16.26,0,1,0,16.76293947,26
25,2,2,16.1,0,1,0,16.75810719,26
26,2,3,15.84,0,1,0.204577038,16.75366048,26
27,2,4,15.75,0,1,0.379073437,16.75026169,26
28,2,5,15.54,0,1,0.554393247,16.74793763,26
29,2,6,15.54,0,1,0.661575791,16.74679123,26
30,2,7,15.51,0,1,0.754380788,16.74734744,26
31,2,8,16.52,0,1,0.574235881,16.74914373,26
32,2,9,18.25,0,1,0.122017638,16.75173648,26
33,2,10,19.81,0,1,0,16.75512416,26
34,2,11,21.93,0,1,0,16.75928585,26
35,2,12,23.65,0,1,0,16.76354208,26
36,2,13,25.16,-0.49789034,1,0,16.76773248,26
37,2,14,26.07,-1.050986337,1,0,16.7725747,26
38,2,15,26.31,-1.384572866,1,0,16.77729069,26
39,2,16,26.01,-1.522620683,1,0,16.78142468,26
40,2,17,25.29,-1.498571764,1,0,16.78569871,26
41,2,18,23.59,-1.190360818,1,0,16.79086968,26
42,2,19,22.12,-0.863794741,1,0,16.79584797,26
43,2,20,20.47,-0.44283307,1,0,16.79938267,26
44,2,21,19.25,-0.077373508,1,0,16.8012781,26
45,2,22,18.47,0,1,0,16.80222578,26
46,2,23,17.89,0,1,0,16.80263516,26
47,2,24,17.49,0,1,0,16.80259627,26
48,3,1,19.93,-0.353159302,1,0,17.75590906,11
49,3,2,19.34,-0.112584341,1,0,17.76278571,11
50,3,3,18.68,0,1,0,17.76988438,11
51,3,4,17.91,0,1,0,17.77696355,11
52,3,5,17.21,0,1,0,17.78459676,11
53,3,6,17.23,0,1,0,17.79219204,11
54,3,7,17.08,0,1,0,17.79967597,11
55,3,8,17.43,0,1,0,17.80773194,11
56,3,9,20.53,0,1,0,17.81647173,11
57,3,10,24,-0.505022275,1,0,17.82552183,11
58,3,11,27.27,-1.580377876,1,0,17.83545003,11
59,3,12,29.82,-2.518014532,1,0,17.84571852,11
60,3,13,31.24,-3.184018728,1,0,17.85651197,11
61,3,14,32.16,-3.686718915,1,0,17.86766015,11
62,3,15,32.86,-4.081340211,1,0,17.87874428,11
63,3,16,32.03,-4.065213758,1,0,17.88989344,11
64,3,17,31.82,-4.129263184,1,0,17.90065415,11
65,3,18,30.22,-3.834346069,1,0,17.91112845,11
66,3,19,28.22,-3.374429814,1,0,17.92156308,11
67,3,20,26.58,-2.932688224,1,0,17.93125746,11
68,3,21,25.2,-2.511875354,1,0,17.9401178,11
69,3,22,24.18,-2.152187903,1,0,17.94878389,11
70,3,23,23.27,-1.810364618,1,0,17.95742546,11
71,3,24,22.35,-1.463019535,1,0,17.9655887,11
72,4,1,15.2,0,1,0.953293343,17.91752528,31
73,4,2,15.07,0,1,1.038647649,17.90656456,31
74,4,3,14.73,0,1,1.166942404,17.89584258,31
75,4,4,14.73,0,1,1.215777138,17.88561508,31
76,4,5,14.79,0,1,1.240714652,17.87573881,31
